# OGLE ID        MOA ID	  RA (J2000)	  Dec(J2000)	 Tmax[HJD]    Tmax[UTC]   Talert[HJD]     Talert[UTC]  DeltaT[d]    tE[d]    Umin    Amax   Ibase[mag]   I0[mag]   
None  MOA-2007-BLG-0245  18:06:45.556  -30:18:55.69  2454276.44  None  None  None  None  15.11  0.4800  2.26  None  18.46
None  MOA-2007-BLG-0248  18:02:59.988  -27:56:50.99  2454269.91  None  None  None  None  7.66  0.5446  2.03  None  19.45
None  MOA-2007-BLG-0249  18:11:45.975  -26:26:20.40  2454281.61  None  None  None  None  36.42  0.2054  4.94  None  19.89
None  MOA-2007-BLG-0250  18:04:50.878  -27:21:18.22  2454313.75  None  None  None  None  116.19  0.0988  10.16  None  20.59
None  MOA-2007-BLG-0251  18:18:06.070  -23:21:17.00  2454268.04  None  None  None  None  1346.98  0.0009  1104.77  None  26.89
None  MOA-2007-BLG-0252  17:59:48.056  -30:25:44.97  2454268.43  None  None  None  None  24.59  5.1619  1.0  None  14.64
None  MOA-2007-BLG-0253  18:15:46.658  -24:21:53.06  2454263.42  None  None  None  None  1.36  6.4835  1.0  None  11.95
None  MOA-2007-BLG-0254  17:52:37.677  -34:38:51.18  2454271.49  None  None  None  None  4179.56  0.0012  823.94  None  26.27
None  MOA-2007-BLG-0255  18:15:43.872  -24:56:51.48  2454270.50  None  None  None  None  45.35  0.0941  10.67  None  21.90
None  MOA-2007-BLG-0256  17:56:07.040  -28:41:37.21  2454331.73  None  None  None  None  148.52  0.3117  3.32  None  19.62
None  MOA-2007-BLG-0257  18:14:59.558  -29:02:37.76  2454268.01  None  None  None  None  0.63  7.7532  1.0  None  10.69
None  MOA-2007-BLG-0258  18:05:43.809  -32:36:13.40  2454269.76  None  None  None  None  12.48  0.3575  2.93  None  20.01
None  MOA-2007-BLG-0259  18:07:18.129  -33:12:40.10  2454310.63  None  None  None  None  27.07  1.5183  1.13  None  14.98
None  MOA-2007-BLG-0260  18:08:03.538  -30:39:17.44  2454278.60  None  None  None  None  10.56  0.1218  8.25  None  19.57
None  MOA-2007-BLG-0261  18:10:58.693  -25:25:24.93  2454277.54  None  None  None  None  19.67  0.1171  8.58  None  20.31
None  MOA-2007-BLG-0263  18:18:54.865  -26:07:35.22  2454282.00  None  None  None  None  20.37  0.4234  2.52  None  18.95
None  MOA-2007-BLG-0264  17:52:23.907  -28:36:42.40  2454277.76  None  None  None  None  20.24  0.0132  75.68  None  23.58
None  MOA-2007-BLG-0266  18:08:55.040  -32:28:20.27  2454277.83  None  None  None  None  32.67  0.1646  6.14  None  20.56
None  MOA-2007-BLG-0267  18:03:40.384  -27:49:11.04  2454285.02  None  None  None  None  28.67  0.1638  6.17  None  20.86
None  MOA-2007-BLG-0269  17:55:41.364  -28:55:24.63  2454299.80  None  None  None  None  116.48  0.0515  19.43  None  21.19
None  MOA-2007-BLG-0271  18:07:08.570  -29:51:01.53  2454280.78  None  None  None  None  22.22  0.2601  3.94  None  20.22
None  MOA-2007-BLG-0273  18:04:42.725  -25:15:12.26  2454365.21  None  None  None  None  57.63  1.0435  1.31  None  16.07
None  MOA-2007-BLG-0274  18:11:13.157  -26:44:15.64  2454285.54  None  None  None  None  25.08  0.3058  3.38  None  19.26
None  MOA-2007-BLG-0275  17:54:14.193  -28:34:37.03  2454285.03  None  None  None  None  2.75  0.0642  15.6  None  20.47
None  MOA-2007-BLG-0276  17:54:40.832  -29:42:02.02  2454288.85  None  None  None  None  0.78  8.2567  1.0  None  10.02
None  MOA-2007-BLG-0277  18:00:27.871  -29:09:43.42  2454287.53  None  None  None  None  10.02  0.0405  24.69  None  20.85
None  MOA-2007-BLG-0279  17:58:42.570  -31:42:36.92  2454288.48  None  None  None  None  21.03  0.1056  9.51  None  19.38
None  MOA-2007-BLG-0281  17:53:51.973  -28:25:21.93  2454289.75  None  None  None  None  58.05  0.0124  80.41  None  22.64
None  MOA-2007-BLG-0282  18:10:01.903  -28:10:18.42  2454296.65  None  None  None  None  40.54  0.3002  3.44  None  18.78
None  MOA-2007-BLG-0285  18:13:33.800  -29:29:22.61  2454305.52  None  None  None  None  180.81  0.1299  7.75  None  21.14
None  MOA-2007-BLG-0289  17:46:14.621  -33:48:12.78  2454327.69  None  None  None  None  45.46  5.9929  1.0  None  11.84
None  MOA-2007-BLG-0290  17:54:45.336  -33:59:29.81  2454312.94  None  None  None  None  65.36  0.6689  1.74  None  18.66
None  MOA-2007-BLG-0291  17:51:38.942  -30:25:24.21  2454290.58  None  None  None  None  17.54  0.0111  90.44  None  22.23
None  MOA-2007-BLG-0292  18:03:51.329  -29:59:37.36  2454305.40  None  None  None  None  80.88  0.3405  3.06  None  19.82
None  MOA-2007-BLG-0293  18:07:19.693  -29:52:17.95  2454315.18  None  None  None  None  27.47  0.8884  1.43  None  17.44
None  MOA-2007-BLG-0295  18:19:23.471  -24:25:43.61  2454292.09  None  None  None  None  27.08  0.1799  5.62  None  20.49
None  MOA-2007-BLG-0297  17:57:16.696  -35:07:12.35  2454294.29  None  None  None  None  9.16  0.2670  3.84  None  19.89
None  MOA-2007-BLG-0300  18:16:16.215  -25:20:17.29  2454300.48  None  None  None  None  2.26  9.0311  1.0  None  9.29
None  MOA-2007-BLG-0302  18:20:21.095  -25:06:20.29  2454292.10  None  None  None  None  0.82  5.1351  1.0  None  11.58
None  MOA-2007-BLG-0303  17:54:45.244  -29:56:28.86  2454328.88  None  None  None  None  43.62  4.6508  1.0  None  14.02
None  MOA-2007-BLG-0304  17:56:56.026  -29:45:06.84  2454294.88  None  None  None  None  14.67  0.0406  24.64  None  22.27
None  MOA-2007-BLG-0307  18:00:22.108  -27:17:08.23  2454305.04  None  None  None  None  17.18  0.6805  1.71  None  18.69
None  MOA-2007-BLG-0309  17:54:58.319  -29:38:20.73  2454295.34  None  None  None  None  1.89  0.9042  1.42  None  19.36
None  MOA-2007-BLG-0311  17:54:23.795  -33:38:23.16  2454318.18  None  None  None  None  8.80  7.0567  1.0  None  10.93
None  MOA-2007-BLG-0313  17:53:35.530  -34:30:19.09  2454334.48  None  None  None  None  21.95  3.3170  1.01  None  14.24
None  MOA-2007-BLG-0315  18:03:11.415  -28:24:47.20  2454297.65  None  None  None  None  25.74  0.1629  6.2  None  19.97
